,lat,long,bedrooms,bathrooms,floors,waterfront,grade,condition,sqft_living,sqft_lot,sqft_above,sqft_basement,yr_built,yr_renovated,year_2014,quarter_0,quarter_1,quarter_2,price
22,47.3717,-122.073,3,2.5,1.0,1,7,3,1370,9253,1090,280,24,0,0,0,1,0,288000
23,47.7508,-122.23899999999999,3,2.5,2.0,1,8,3,2100,6092,2100,0,5,0,0,0,1,0,554990
24,47.2988,-122.374,3,2.25,1.0,1,8,3,2510,9900,1610,900,40,0,0,0,1,0,267000
25,47.3009,-122.385,4,2.5,2.0,1,10,3,3402,14355,2846,556,4,0,0,0,1,0,498000
26,47.3894,-122.166,4,1.75,1.0,1,7,4,1490,8544,1490,0,48,0,0,0,1,0,242150
27,47.4654,-122.194,4,1.75,1.0,1,8,4,1720,8300,1720,0,53,0,0,0,1,0,330000
28,47.4339,-122.19200000000001,3,1.0,1.0,1,7,3,1380,7334,980,400,37,0,0,0,1,0,165000
29,47.3757,-122.304,2,1.0,1.0,1,7,4,880,7575,880,0,76,0,0,0,1,0,204750
30,47.6166,-122.287,5,3.0,2.0,1,9,5,3830,8480,2630,1200,113,1,0,0,1,0,2050000
31,47.3837,-122.31700000000001,3,1.5,1.0,1,7,4,1340,7391,1340,0,52,0,0,0,1,0,245000
32,47.3839,-122.225,2,2.0,1.0,1,6,4,1130,5500,1130,0,77,0,0,0,1,0,250000
33,47.707,-122.102,5,2.75,2.0,1,9,3,2860,5280,2860,0,12,0,0,0,1,0,751000
34,47.3161,-122.27,5,2.5,2.0,1,8,3,2840,6010,2840,0,15,0,0,0,1,0,372000
35,47.5321,-122.323,2,1.0,1.0,1,6,3,930,4000,730,200,75,0,0,0,1,0,269500
36,47.6187,-122.295,3,1.75,1.5,1,7,3,1540,8400,1540,0,116,0,0,0,1,0,900000
37,47.5323,-122.351,3,2.25,1.0,1,7,3,1640,5880,1240,400,41,0,0,0,1,0,415000
38,47.5794,-122.03,3,3.25,2.0,1,8,3,3240,4185,2770,470,7,0,0,0,1,0,724500
39,47.7176,-122.03299999999999,2,1.75,1.0,1,8,3,1350,4003,1350,0,14,0,0,0,1,0,419950
40,47.7326,-122.197,3,2.5,2.0,1,8,3,2300,4307,2300,0,20,0,0,0,1,0,500000
41,47.6546,-122.344,3,2.0,1.0,1,7,4,1640,4218,910,730,77,0,0,0,1,0,645000
42,47.5462,-122.32,2,1.0,1.5,1,6,3,760,4000,760,0,108,0,0,0,1,0,380000
43,47.6261,-122.355,2,1.75,1.0,1,6,4,1000,1760,600,400,94,0,0,0,1,0,453500
44,47.7041,-122.351,2,2.5,2.0,1,8,3,1170,1638,1170,0,10,0,0,0,1,0,325000
45,47.3691,-122.163,3,2.75,2.0,1,7,4,2290,34548,2290,0,34,0,0,0,1,0,536000
46,47.4168,-122.074,3,2.5,1.0,1,8,3,2720,62310,2040,680,33,0,0,0,1,0,550000
47,47.4253,-122.04299999999999,4,2.25,1.0,1,7,4,2380,128937,2380,0,58,0,0,0,1,0,276500
48,47.4291,-122.177,2,2.5,1.0,1,10,4,3090,47044,2250,840,39,0,0,0,1,0,602500
49,47.3533,-122.08200000000001,4,2.25,1.0,1,9,4,2350,36116,2350,0,35,0,0,0,1,0,464950
50,47.5323,-122.23700000000001,5,4.25,1.0,1,10,4,4050,18827,2150,1900,39,0,0,0,1,0,1380000
51,47.3303,-122.351,4,1.75,1.0,1,8,3,2250,16000,1450,800,61,0,0,0,1,0,280000
52,47.5515,-122.113,4,5.0,1.0,1,12,3,5310,16909,3090,2220,26,0,0,0,1,0,2480000
53,47.7435,-122.292,2,1.75,1.0,1,7,3,2080,13054,2080,0,67,0,0,0,1,0,600000
54,47.3628,-122.147,2,2.25,1.0,1,8,4,2080,11285,1180,900,64,0,0,0,1,0,530000
55,47.7432,-122.07600000000001,3,2.5,1.0,1,6,3,1410,26375,1410,0,26,0,0,0,1,0,390000
56,47.4485,-122.139,4,2.5,1.0,1,8,5,2400,11640,1800,600,50,0,0,0,1,0,495000
57,47.5899,-122.17299999999999,4,1.75,1.0,1,8,4,1980,10800,1320,660,65,0,0,0,1,0,700000
58,47.6985,-122.229,2,0.75,1.0,1,4,3,750,16321,750,0,82,0,0,0,1,0,435000
59,47.506,-122.365,5,1.75,1.0,1,7,3,1710,11900,1070,640,60,0,0,0,1,0,319950
60,47.4964,-121.771,3,1.75,1.0,1,7,4,1430,9857,1140,290,38,0,0,0,1,0,390000
61,47.6227,-122.20700000000001,3,2.0,1.0,1,8,3,2160,15788,2160,0,67,0,0,0,1,0,1190000
62,47.4487,-121.773,3,1.75,1.0,1,7,3,1350,9000,1350,0,31,0,0,0,1,0,304950
63,47.5685,-122.012,4,2.5,2.0,1,9,3,2700,10160,2700,0,30,0,0,0,1,0,674725
64,47.526,-121.81,2,1.0,1.0,1,5,3,910,9000,910,0,95,0,0,0,1,0,301000
65,47.6066,-122.19200000000001,5,2.25,1.0,1,8,4,1960,8592,1290,670,60,0,0,0,1,0,860000
66,47.2846,-122.19200000000001,3,2.25,1.0,1,7,3,2080,26574,1380,700,25,0,0,0,1,0,270000
67,47.4388,-122.14200000000001,4,2.5,2.0,1,8,3,2410,7517,2410,0,35,0,0,0,1,0,440000
68,47.7567,-122.333,4,2.25,2.0,1,7,5,1940,8270,1940,0,56,0,0,0,1,0,530000
69,47.4192,-122.33,3,1.5,1.0,1,7,3,1420,5000,920,500,31,0,0,0,1,0,205000
70,47.6972,-122.12899999999999,3,1.75,1.0,1,7,3,1720,6960,1140,580,40,0,0,0,1,0,450000
71,47.535,-122.289,3,1.0,1.0,1,7,3,1530,6372,1210,320,56,0,0,0,1,0,387000
72,47.5,-122.31700000000001,2,1.0,1.0,1,5,3,600,6120,600,0,75,1,0,0,1,0,135000
73,47.4928,-122.229,5,3.5,2.0,1,9,3,4010,6000,2560,1450,21,0,0,0,1,0,625000
74,47.5545,-122.35600000000001,4,2.0,1.0,1,7,4,1640,5014,930,710,36,0,0,0,1,0,377000
75,47.5855,-122.383,4,1.5,1.5,1,8,4,2030,3300,1530,500,91,0,0,0,1,0,750000
76,47.4362,-122.178,3,2.5,2.0,1,8,3,2200,4052,2200,0,13,0,0,0,1,0,365000
77,47.5275,-122.271,4,2.5,2.0,1,7,3,1470,1612,980,490,15,0,0,0,1,0,228800
78,47.2581,-122.2,3,2.5,2.0,1,8,3,2242,4800,2242,0,5,0,0,0,1,0,328000
79,47.5712,-122.316,3,1.0,1.0,1,6,3,810,4600,810,0,100,0,0,0,1,0,385000
80,47.6308,-122.31200000000001,3,1.5,2.0,1,7,5,2200,2880,1440,760,114,0,0,0,1,0,885000
81,47.7057,-122.11200000000001,3,2.5,2.0,1,8,3,2440,4244,2440,0,7,0,0,0,1,0,729000
82,47.4802,-122.179,3,2.5,2.0,1,7,3,1680,4308,1680,0,14,0,0,0,1,0,347000
83,47.5746,-122.289,3,1.5,1.5,1,7,5,1220,4080,1220,0,104,0,0,0,1,0,670000
84,47.6652,-122.338,2,1.5,1.5,1,7,3,1090,4013,1090,0,118,0,0,0,1,0,685000
85,47.6178,-122.292,3,1.0,1.0,1,7,3,1040,4000,1040,0,68,0,0,0,1,0,440000
86,47.6737,-122.365,2,1.0,1.0,1,7,3,1420,3100,820,600,94,0,0,0,1,0,550000
87,47.666000000000004,-122.32700000000001,3,1.75,1.5,1,7,3,1720,3825,1720,0,93,0,0,0,1,0,475000
88,47.681999999999995,-122.348,3,1.75,1.5,1,7,5,2010,3090,1510,500,92,0,0,0,1,0,825000
89,47.3845,-122.039,2,1.5,2.0,1,7,3,1030,2850,1030,0,23,0,0,0,1,0,220000
90,47.5674,-122.367,2,1.0,1.0,1,6,3,830,5610,830,0,96,0,0,0,1,0,275000
91,47.7177,-122.292,3,2.25,3.0,1,7,3,1330,969,1330,0,11,0,0,0,1,0,325000
92,47.5648,-122.294,3,2.25,2.0,1,8,3,1430,2343,1430,0,6,0,0,0,1,0,439000
93,47.5818,-122.402,3,2.5,3.0,1,9,3,1660,1091,1530,130,3,0,0,0,1,0,729500
94,47.2964,-122.116,4,2.5,2.0,1,8,4,4090,215186,3670,420,39,0,0,0,1,0,640000
95,47.6106,-122.055,3,2.0,1.5,1,9,3,2320,65340,2320,0,26,0,0,0,1,0,870000
96,47.346000000000004,-122.15700000000001,3,2.5,1.0,1,8,4,1930,64904,1930,0,30,0,0,0,1,0,390000
97,47.6435,-122.154,5,2.25,1.0,1,9,3,2510,35691,2510,0,51,0,0,0,1,0,900000
98,47.691,-122.176,3,2.5,2.0,1,8,3,1630,1755,1320,310,21,0,0,0,1,0,419900
99,47.3574,-122.318,5,3.5,2.0,1,10,3,4750,8234,3350,1400,5,0,0,0,1,0,770000
100,47.6393,-122.09700000000001,5,4.25,2.0,2,8,5,4640,22703,2860,1780,66,0,0,0,1,0,2200000
101,47.5577,-122.399,2,1.0,1.5,1,6,4,1050,7500,1050,0,108,0,0,0,1,0,521000
102,47.6146,-122.213,5,3.75,2.0,1,12,3,5020,8694,3970,1050,11,0,0,0,1,0,3650000
103,47.4894,-122.135,3,1.0,1.0,1,7,4,1250,10723,1250,0,57,0,0,0,1,0,310000
104,47.4545,-122.146,3,1.75,1.0,1,8,3,1970,9512,1970,0,50,0,0,0,1,0,371000
105,47.7345,-121.977,3,2.5,2.0,1,7,3,1640,10424,1640,0,30,0,0,0,1,0,350000
106,47.5454,-122.19200000000001,2,1.0,1.0,1,6,5,1110,9920,700,410,76,0,0,0,1,0,343000
107,47.3733,-122.432,3,2.0,1.0,1,7,4,2080,12972,1250,830,37,0,0,0,1,0,389000
108,47.6383,-122.098,3,2.25,1.0,1,8,4,2220,10530,1700,520,44,0,0,0,1,0,739000
109,47.474,-122.146,3,2.0,1.0,1,7,4,1620,9566,1620,0,50,0,0,0,1,0,382880
110,47.4561,-122.148,3,1.5,1.0,1,8,4,1440,7875,1440,0,50,0,0,0,1,0,330000
111,47.4993,-122.36399999999999,3,1.75,1.0,1,7,5,1810,7200,1030,780,59,0,0,0,1,0,360000
112,47.4735,-122.344,4,1.75,1.0,1,7,3,1400,8374,1400,0,65,0,0,0,1,0,340000
113,47.7685,-122.2,3,1.75,1.0,1,7,4,1950,8325,1950,0,56,0,0,0,1,0,510000
114,47.7133,-122.30799999999999,3,1.0,1.5,1,7,3,1220,8040,1220,0,53,0,0,0,1,0,467000
115,47.7153,-122.211,3,2.5,1.0,1,7,3,1510,7300,1040,470,44,0,0,0,1,0,399950
116,47.5157,-122.191,4,1.75,1.0,1,7,4,2180,7876,1290,890,41,0,0,0,1,0,379000
117,47.7101,-122.014,2,2.0,1.0,1,8,3,1850,4667,1850,0,8,0,0,0,1,0,589000
118,47.5261,-122.266,4,1.0,1.5,1,7,4,1610,6000,1510,100,113,0,0,0,1,0,426250
119,47.5437,-122.281,2,1.0,1.0,1,6,3,890,6000,890,0,77,0,0,0,1,0,334000
120,47.5167,-121.885,4,2.5,2.0,1,10,3,3340,5314,3340,0,8,0,0,0,1,0,701000
121,47.5499,-122.39299999999999,4,3.5,2.0,1,9,3,2490,5500,1780,710,3,0,0,0,1,0,899000
122,47.7749,-122.15899999999999,3,2.5,2.0,1,9,3,2450,3582,2450,0,10,0,0,0,1,0,552500
123,47.6938,-122.34700000000001,1,1.0,1.0,1,6,4,390,2000,390,0,98,0,0,0,1,0,245000
124,47.6915,-122.345,5,1.75,1.5,1,7,5,2020,5100,1320,700,107,0,0,0,1,0,475000
125,47.6947,-122.346,3,1.0,1.0,1,6,4,910,6630,910,0,106,0,0,0,1,0,245000
126,47.5547,-122.272,2,1.0,1.0,1,6,4,750,4000,750,0,92,0,0,0,1,0,422000
127,47.5828,-122.382,2,1.0,1.0,1,6,1,990,8140,990,0,108,0,0,0,1,0,210000
128,47.6779,-122.35700000000001,4,1.75,1.5,1,8,3,2370,5000,1770,600,99,0,0,0,1,0,870000
129,47.7013,-122.35,4,1.75,1.0,1,6,4,2020,6200,1010,1010,70,0,0,0,1,0,575000
130,47.586999999999996,-122.294,4,1.0,1.5,1,7,4,1610,2982,1610,0,93,0,0,0,1,0,535000
131,47.6597,-122.345,1,1.0,1.0,1,7,3,720,2500,720,0,108,0,0,0,1,0,438600
132,47.6032,-122.30799999999999,2,1.5,2.0,1,7,3,960,1829,960,0,13,0,0,0,1,0,386180
133,47.632,-122.361,2,2.5,3.0,1,9,3,1680,977,1680,0,9,0,0,0,1,0,935000
134,47.5416,-121.86399999999999,4,2.5,2.0,1,9,3,3180,5438,3180,0,15,0,0,0,1,0,650000
135,47.7733,-122.17,3,2.5,2.0,1,7,4,1930,5790,1930,0,30,0,0,0,1,0,435000
136,47.3999,-122.211,4,2.5,2.0,1,9,3,2980,12534,2980,0,22,0,0,0,1,0,515000
137,47.5269,-122.383,4,1.5,1.0,1,7,4,1440,3200,960,480,58,0,0,0,1,0,589500
138,47.6506,-122.405,4,2.0,1.0,1,8,4,2380,6122,1310,1070,69,0,0,0,1,0,812000
139,47.2881,-122.086,3,1.75,1.0,1,7,3,2170,73616,2170,0,10,0,0,0,1,0,399000
140,47.2215,-122.06700000000001,3,3.0,1.5,1,8,3,2450,211266,2450,0,14,0,0,0,1,0,530000
141,47.4189,-122.499,3,1.75,2.0,1,7,4,2020,215622,2020,0,43,0,0,0,1,0,490000
142,47.4199,-122.03399999999999,3,2.0,1.5,1,8,4,2570,233481,2570,0,32,0,0,0,1,0,435000
143,47.6503,-121.96799999999999,4,1.5,2.0,1,7,3,2120,46173,2120,0,44,0,0,0,1,0,316000
144,47.6064,-122.039,3,1.0,1.0,1,8,3,2000,21780,1480,520,40,0,0,0,1,0,500000
145,47.5491,-122.104,4,3.25,2.0,1,11,3,5640,35006,4900,740,3,0,0,0,1,0,1999950
146,47.6354,-122.214,4,2.75,2.0,1,10,4,3480,19991,2630,850,39,0,0,0,1,0,1580000
147,47.5479,-122.212,5,3.75,1.0,1,10,4,3490,15246,1940,1550,50,0,0,0,1,0,1295000
148,47.7306,-121.96600000000001,4,2.5,2.0,1,7,3,1770,13168,1770,0,28,0,0,0,1,0,455000
149,47.4357,-122.34299999999999,4,3.25,2.0,1,9,3,3674,12793,3674,0,31,0,0,0,1,0,699950
150,47.1913,-122.015,3,1.75,1.0,1,8,3,1670,11452,1670,0,26,0,0,0,1,0,245000
151,47.4922,-122.134,5,2.25,1.0,1,7,4,2100,10726,1050,1050,55,0,0,0,1,0,342500
152,47.638000000000005,-122.288,4,4.0,2.0,1,11,3,4260,11765,3280,980,79,1,0,0,1,0,3400000
153,47.748999999999995,-122.305,3,1.75,2.0,1,7,3,1790,9813,1790,0,69,0,0,0,1,0,451000
154,47.7771,-122.36200000000001,4,2.75,1.0,1,8,4,2300,26650,2300,0,68,0,0,0,1,0,525000
155,47.4513,-122.26700000000001,4,2.5,2.0,1,8,3,2310,6650,2310,0,6,0,0,0,1,0,422000
156,47.7341,-121.98100000000001,3,2.25,2.0,1,7,3,1680,9766,1680,0,29,0,0,0,1,0,396000
157,47.2949,-122.27,4,2.5,2.0,1,8,3,4073,17334,4073,0,10,0,0,0,1,0,510000
158,47.5279,-122.199,4,3.0,2.0,1,9,3,3150,6599,3150,0,10,0,0,0,1,0,649500
159,47.4563,-122.171,3,1.0,1.0,1,7,4,1610,8579,1010,600,56,0,0,0,1,0,205000
160,47.5013,-122.147,4,1.75,1.0,1,7,4,2010,12188,1150,860,58,0,0,0,1,0,360000
161,47.4959,-122.367,5,1.75,1.0,1,8,3,2330,6450,1330,1000,60,0,0,0,1,0,465000
162,47.6123,-122.007,4,3.0,2.0,1,9,3,2800,9127,2800,0,19,0,0,0,1,0,770000
163,47.3668,-122.31200000000001,5,1.5,1.5,1,7,4,1840,8050,1840,0,56,0,0,0,1,0,285000
164,47.3713,-122.09100000000001,3,2.25,2.0,1,7,4,1610,7423,1610,0,28,0,0,0,1,0,260000
165,47.7276,-122.181,3,3.0,1.0,1,7,3,1520,7500,1180,340,51,0,0,0,1,0,460000
166,47.7238,-122.302,2,1.0,1.0,1,7,3,1300,6617,1300,0,32,0,0,0,1,0,324500
167,47.3511,-122.05799999999999,4,2.75,2.0,1,7,4,2000,9083,2000,0,26,0,0,0,1,0,323000
168,47.4578,-122.351,4,1.5,1.0,1,7,4,1680,7620,1180,500,53,0,0,0,1,0,334000
169,47.4501,-122.176,3,1.0,1.0,1,6,4,1010,7690,1010,0,60,0,0,0,1,0,255000
170,47.7153,-122.28399999999999,2,1.0,1.0,1,6,3,910,5759,910,0,67,0,0,0,1,0,455000
171,47.3739,-122.148,3,1.0,1.0,1,7,4,1310,7125,1310,0,40,0,0,0,1,0,240000
172,47.4002,-122.189,4,1.75,1.0,1,7,3,1840,7275,1090,750,42,0,0,0,1,0,279000
173,47.6823,-122.20299999999999,2,1.0,1.0,1,6,4,1040,7200,1040,0,63,0,0,0,1,0,687500
174,47.3543,-122.005,4,2.5,2.0,1,10,3,3680,7236,3680,0,12,0,0,0,1,0,679000
175,47.4952,-122.17200000000001,2,1.0,1.0,1,7,4,1220,28703,1220,0,65,0,0,0,1,0,350000
176,47.6742,-122.28399999999999,3,1.0,1.0,1,7,3,910,5212,910,0,67,0,0,0,1,0,565000
177,47.6929,-122.36,2,1.0,1.0,1,6,3,910,4191,910,0,108,0,0,0,1,0,275000
178,47.6474,-122.402,3,1.75,1.0,1,7,5,1500,6000,850,650,78,0,0,0,1,0,700000
179,47.5254,-122.318,3,1.0,1.5,1,7,3,1020,6000,1020,0,118,0,0,0,1,0,337500
180,47.7321,-122.334,3,1.0,1.5,1,7,4,1280,5460,1280,0,87,0,0,0,1,0,443000
181,47.5131,-122.383,3,1.0,1.0,1,7,4,1190,5280,1190,0,61,0,0,0,1,0,410000
182,47.3644,-122.08200000000001,2,1.0,1.0,1,6,5,840,5265,840,0,49,0,0,0,1,0,209000
183,47.4011,-122.164,4,2.5,2.0,1,7,4,3320,5034,3320,0,12,0,0,0,1,0,410000
184,47.6883,-122.384,2,1.0,1.0,1,7,3,1410,4500,1020,390,79,0,0,0,1,0,600000
185,47.6701,-122.286,2,1.0,1.0,1,7,3,1100,3975,900,200,68,0,0,0,1,0,395000
186,47.5746,-122.311,4,1.75,1.5,1,7,5,1620,4240,1620,0,102,0,0,0,1,0,512500
187,47.5797,-122.305,4,2.0,1.0,1,7,3,1170,4000,1170,0,63,0,0,0,1,0,330000
188,47.5933,-122.30799999999999,2,2.0,2.0,1,7,3,1730,4248,1730,0,113,0,0,0,1,0,450000
189,47.5372,-122.26899999999999,4,2.0,1.0,1,6,4,1950,3757,1160,790,110,0,0,0,1,0,370000
190,47.5412,-122.286,3,2.5,2.0,1,8,3,2080,3920,2080,0,8,0,0,0,1,0,448500
191,47.7633,-122.149,4,2.5,2.0,1,7,3,1780,2992,1780,0,15,0,0,0,1,0,455000
192,47.543,-122.375,3,2.25,2.0,1,8,3,1520,1464,1240,280,8,0,0,0,1,0,380000
193,47.2485,-122.101,3,2.5,2.0,1,7,3,2880,426452,2880,0,39,0,0,0,1,0,450000
194,47.6854,-122.079,3,2.25,1.0,1,9,3,2570,47480,2570,0,39,0,0,0,1,0,625000
195,47.6735,-122.041,3,1.75,1.0,1,7,3,1760,235224,1760,0,45,0,0,0,1,0,568000
196,47.3974,-122.005,3,2.5,2.0,1,7,3,1860,415126,1860,0,12,0,0,0,1,0,472000
197,47.769,-122.094,4,2.25,2.0,1,8,3,2590,36256,2590,0,40,0,0,0,1,0,550000
198,47.7648,-122.37,3,1.75,1.0,1,8,3,1680,28046,1180,500,70,0,0,0,1,0,620000
199,47.5831,-122.191,5,1.75,1.0,1,7,4,2690,21357,1420,1270,66,0,0,0,1,0,730000
200,47.6409,-122.221,5,4.0,2.0,1,12,3,6670,16481,4960,1710,11,0,0,0,1,0,2998000
201,47.3221,-122.344,2,1.0,1.5,1,6,4,1420,16400,1420,0,75,0,0,0,1,0,306500
202,47.531000000000006,-122.134,4,3.5,2.0,1,10,3,4640,13404,4640,0,11,0,0,0,1,0,1267500
203,47.2034,-122.00299999999999,4,1.75,1.5,1,7,5,2290,36900,1690,600,80,0,0,0,1,0,449999
204,47.6647,-122.14200000000001,4,2.25,2.0,1,8,3,1780,10260,1780,0,47,0,0,0,1,0,615000
205,47.6938,-122.21,2,1.0,1.0,1,7,4,920,10000,920,0,37,0,0,0,1,0,555500
206,47.7726,-122.266,3,1.75,1.0,1,7,4,1770,10513,1400,370,36,0,0,0,1,0,415000
207,47.3509,-122.323,3,2.5,2.0,1,9,3,2780,8225,2780,0,28,0,0,0,1,0,449900
208,47.7638,-122.196,4,2.25,2.0,1,8,3,3070,9210,2740,330,8,0,0,0,1,0,664500
209,47.7307,-122.18299999999999,3,2.75,1.5,1,8,4,3230,9576,3230,0,52,0,0,0,1,0,605000
210,47.5112,-122.186,5,2.0,1.0,1,7,5,2400,9537,1210,1190,59,0,0,0,1,0,390000
211,47.7402,-122.255,3,1.5,1.0,1,7,3,1740,9046,1740,0,62,0,0,0,1,0,415000
212,47.361000000000004,-122.281,4,2.25,2.0,1,8,3,2240,9600,2240,0,47,0,0,0,1,0,327500
213,47.1923,-122.014,3,2.0,1.0,1,7,3,1760,9732,1760,0,22,0,0,0,1,0,314950
214,47.6698,-122.177,3,1.0,1.0,1,6,4,1540,9028,1540,0,50,0,0,0,1,0,450000
215,47.4828,-122.133,4,2.75,2.0,1,9,3,2460,8643,2460,0,7,0,0,0,1,0,579950
216,47.3618,-122.289,4,2.25,1.0,1,8,4,1780,8820,1480,300,52,0,0,0,1,0,310000
217,47.6734,-122.17299999999999,3,2.5,2.0,1,9,3,2400,7745,2400,0,17,0,0,0,1,0,750000
218,47.3032,-122.306,5,2.5,1.0,1,8,3,2803,8550,2803,0,55,1,0,0,1,0,379000
219,47.4043,-122.213,4,2.5,2.0,1,7,3,2641,8091,2641,0,20,0,0,0,1,0,393000
220,47.7297,-122.32600000000001,4,1.5,1.5,1,7,3,1940,8970,1270,670,38,0,0,0,1,0,306888
221,47.4269,-122.148,3,2.25,2.0,1,7,3,2860,8458,2860,0,35,0,0,0,1,0,365000
222,47.2602,-122.219,3,1.75,2.0,1,8,3,1980,9220,1980,0,31,0,0,0,1,0,297300
223,47.2624,-122.29899999999999,3,2.25,1.0,1,7,3,1930,8192,1470,460,34,0,0,0,1,0,273000
224,47.5217,-122.155,4,3.25,2.0,1,11,3,4020,11588,4020,0,18,0,0,0,1,0,1050000
225,47.6327,-122.09700000000001,3,1.75,1.0,1,8,4,2010,8072,2010,0,44,0,0,0,1,0,639500
226,47.5467,-122.365,2,1.0,1.0,1,7,3,870,10492,870,0,81,0,0,0,1,0,382000
227,47.3539,-122.054,3,2.0,1.0,1,7,4,1470,7694,1470,0,26,0,0,0,1,0,254000
228,47.2831,-122.199,3,1.75,1.0,1,7,3,1600,7500,1600,0,20,0,0,0,1,0,285000
229,47.3564,-122.04,3,2.25,1.0,1,7,4,1580,7034,1180,400,29,0,0,0,1,0,284000
230,47.3584,-122.089,4,2.5,2.0,1,7,4,1880,9426,1880,0,28,0,0,0,1,0,306000
231,47.7016,-122.17,4,2.25,2.0,1,8,3,2040,7031,2040,0,6,0,0,0,1,0,670000
232,47.458999999999996,-122.118,4,3.5,2.0,1,10,3,3450,6873,2750,700,14,0,0,0,1,0,590000
233,47.5549,-122.35600000000001,3,1.5,1.0,1,7,5,1060,7488,1060,0,41,0,0,0,1,0,325000
234,47.6712,-122.272,5,3.25,2.0,1,9,3,2920,6960,2120,800,65,1,0,0,1,0,1540000
235,47.3521,-122.302,3,2.25,2.0,1,8,4,1620,7772,1620,0,30,0,0,0,1,0,290000
236,47.5467,-122.37700000000001,2,1.0,1.0,1,7,3,900,6656,900,0,78,0,0,0,1,0,355000
237,47.597,-122.292,4,3.25,1.5,1,9,4,2320,5900,2320,0,108,0,0,0,1,0,934550
238,47.35,-122.037,3,1.75,1.0,1,7,4,1520,6559,1170,350,26,0,0,0,1,0,295000
239,47.651,-122.399,2,1.0,1.0,1,7,4,2140,6000,1070,1070,72,0,0,0,1,0,680000
240,47.5297,-122.34899999999999,4,2.0,1.5,1,6,4,1840,4760,1080,760,89,0,0,0,1,0,433000
241,47.7327,-121.965,4,3.5,2.0,1,8,3,2730,5707,2000,730,7,0,0,0,1,0,489500
242,47.3714,-122.103,5,2.5,2.0,1,8,3,3220,5806,3220,0,16,0,0,0,1,0,355000
243,47.5322,-122.37899999999999,2,1.0,1.0,1,6,2,910,5525,910,0,108,0,0,0,1,0,370000
244,47.5508,-122.26799999999999,5,3.75,3.0,1,8,3,2980,4635,2980,0,21,0,0,0,1,0,598200
245,47.5254,-122.39200000000001,4,2.0,1.0,1,7,4,2490,4700,1690,800,66,0,0,0,1,0,700000
246,47.3747,-122.12799999999999,3,2.5,2.0,1,7,3,2030,4867,2030,0,15,0,0,0,1,0,295000
247,47.574,-122.385,3,1.0,1.5,1,7,3,1030,4089,1030,0,91,0,0,0,1,0,570000
248,47.3539,-122.021,3,2.0,1.0,1,8,3,1640,4714,1640,0,9,0,0,0,1,0,349950
249,47.4799,-122.12899999999999,4,2.5,1.0,1,7,3,2230,5000,1650,580,12,0,0,0,1,0,448000
250,47.5846,-122.387,4,1.75,1.0,1,7,3,2190,5060,1190,1000,68,0,0,0,1,0,567500
